id,面積(μm)^2,円相当径(μm),周囲長(μm),最大長(μm),対角幅(μm),外接矩形_長辺(μm),外接矩形_短辺(μm),アスペクト比,円形度,四角度,凸度,角度(°),モード基準角(°),近似境界距離(μm),第一近傍重心距離(μm),第二近傍重心距離(μm),第三近傍重心距離(μm),平均画素値Gray,最小画素値Gray,最大画素値Gray,画素値標準偏差Gray,画素値標準偏差Gray_内部,累積10％画素値Gray,累積50％画素値Gray,累積90％画素値Gray,平均画素値Blue,最小画素値Blue,最大画素値Blue,画素値標準偏差Blue,累積10％画素値Blue,累積50％画素値Blue,累積90％画素値Blue,平均画素値Green,最小画素値Green,最大画素値Green,画素値標準偏差Green,累積10％画素値Green,累積50％画素値Green,累積90％画素値Green,平均画素値Red,最小画素値Red,最大画素値Red,画素値標準偏差Red,累積10％画素値Red,累積50％画素値Red,累積90％画素値Red,平均画素値Hue,最小画素値Hue,最大画素値Hue,画素値標準偏差Hue,累積10％画素値Hue,累積50％画素値Hue,累積90％画素値Hue,平均画素値Saturation,最小画素値Saturation,最大画素値Saturation,画素値標準偏差Saturation,累積10％画素値Saturation,累積50％画素値Saturation,累積90％画素値Saturation,平均画素値Value,最小画素値Value,最大画素値Value,画素値標準偏差Value,累積10％画素値Value,累積50％画素値Value,累積90％画素値Value,平均画素値L*,最小画素値L*,最大画素値L*,画素値標準偏差L*,累積10％画素値L*,累積50％画素値L*,累積90％画素値L*,平均画素値a*,最小画素値a*,最大画素値a*,画素値標準偏差a*,累積10％画素値a*,累積50％画素値a*,累積90％画素値a*,平均画素値b*,最小画素値b*,最大画素値b*,画素値標準偏差b*,累積10％画素値b*,累積50％画素値b*,累積90％画素値b*
1,133.37736103999998,13.031551344661425,45.55958404898643,16.433033974284843,10.927550510818856,16.430979019927978,10.84574490661621,1.5149700791786664,0.8074813187002691,0.7484439699002672,1.0359712230215827,-28.30075576600638,67.69924423399362,0.8166005791648576,10.166473032472963,15.716724243938364,16.39963346419669,111.42285714285714,0.0,207.0,41.42412744637934,28.776851972852416,54,115,162,111.42285714285714,0.0,207.0,41.42412744637934,54,115,162,111.42285714285714,0.0,207.0,41.42412744637934,54,115,162,111.42285714285714,0.0,207.0,41.42412744637934,54,115,162,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,111.42285714285714,0.0,207.0,41.42412744637934,54,115,162,118.64380952380952,0.0,212.0,43.535959792008015,58,124,170,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
2,58.12127551999999,8.602459321758618,30.083879816961286,9.93461149718498,9.272304064039314,9.4248,7.853999999999999,1.2,0.807007016394683,0.7851851851851852,1.0424528301886793,86.82016988013577,2.820169880135765,0.4423709182855493,10.166473032472963,14.585808203867208,25.789625529658238,97.66806722689076,1.0,194.0,46.862250190350885,33.57229173472415,30,104,155,97.66806722689076,1.0,194.0,46.862250190350885,30,104,155,97.66806722689076,1.0,194.0,46.862250190350885,30,104,155,97.66806722689076,1.0,194.0,46.862250190350885,30,104,155,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,97.66806722689076,1.0,194.0,46.862250190350885,30,104,155,103.72268907563024,1.0,200.0,50.08579603238273,28,112,163,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
3,540.2262896799999,26.22665581285821,102.94508588938712,38.65430677169104,20.04349925445851,38.2228,18.8496,2.0277777777777777,0.640581420829637,0.7498097412480974,1.0918548591727988,-86.28471089457123,9.71528910542878,1.2340082038672087,14.585808203867208,16.39963346419669,26.085581740110758,147.60301263362487,0.0,232.0,40.28367981861516,29.24621710975454,103,154,190,147.60301263362487,0.0,232.0,40.28367981861516,103,154,190,147.60301263362487,0.0,232.0,40.28367981861516,103,154,190,147.60301263362487,0.0,232.0,40.28367981861516,103,154,190,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,147.60301263362487,0.0,232.0,40.28367981861516,103,154,190,155.1083576287658,0.0,235.0,40.89355945835895,111,162,196,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
4,706.9137213599998,30.00117505617815,118.90717901606558,48.045828156042845,21.637741136308136,46.728631506347654,21.823206739807127,2.141235798362814,0.6282899656163553,0.6932099410035264,1.069032383168509,-76.90810693565317,19.091893064346834,3.138643450393168,18.288561758651223,22.27608802281047,24.586909053396685,118.48619402985075,0.0,242.0,35.364179370225955,29.19297369564417,77,120,161,118.48619402985075,0.0,242.0,35.364179370225955,77,120,161,118.48619402985075,0.0,242.0,35.364179370225955,77,120,161,118.48619402985075,0.0,242.0,35.364179370225955,77,120,161,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,118.48619402985075,0.0,242.0,35.364179370225955,77,120,161,126.29776119402985,0.0,244.0,36.57913312344041,83,129,169,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
5,549.6847047999998,26.455250958693135,93.72175491309166,31.646411722026244,25.772809984404063,31.08184507293701,23.311385302734372,1.3333332476509314,0.7863985293608633,0.7586453123250283,1.0473815461346634,-27.89727103094763,68.10272896905238,0.8560551258910394,25.274210507946634,27.432842637976837,30.91014405660381,136.01105237866412,1.0,230.0,36.394844316712145,30.520511316478316,92,138,181,136.01105237866412,1.0,230.0,36.394844316712145,92,138,181,136.01105237866412,1.0,230.0,36.394844316712145,92,138,181,136.01105237866412,1.0,230.0,36.394844316712145,92,138,181,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,136.01105237866412,1.0,230.0,36.394844316712145,92,138,181,143.85439692455552,1.0,233.0,36.92740571413882,100,147,188,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
6,393.41523759999995,22.381059805418058,84.14811042928694,29.270129825472242,21.636479966989082,24.64762950439453,22.894788702392574,1.0765606891938155,0.6981878782327712,0.6971711064285768,1.0850174216027872,76.75948008481281,-7.240519915187193,3.4772173848576067,19.059327690136396,19.224036570918187,24.586909053396685,143.84993359893758,19.0,228.0,31.193651295378807,28.46671490291258,102,145,182,143.84993359893758,19.0,228.0,31.193651295378807,102,145,182,143.84993359893758,19.0,228.0,31.193651295378807,102,145,182,143.84993359893758,19.0,228.0,31.193651295378807,102,145,182,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,143.84993359893758,19.0,228.0,31.193651295378807,102,145,182,151.8539176626826,15.0,231.0,31.019869632368813,110,154,189,127.99999999999999,128.0,128.0,1.3486991523486091e-06,128,128,128,127.99999999999999,128.0,128.0,1.3486991523486091e-06,128,128,128
7,2133.3523842399995,52.117833977146546,203.8175693247318,63.32097235513681,50.13722118786217,62.31570240478515,48.05931900939941,1.2966413942028077,0.6453409522296413,0.7123402596772098,1.0861016513525672,-63.64559412207739,32.3544058779226,0.0,26.58527116431201,29.438242993765776,32.48008593092081,118.52238993710691,0.0,215.0,29.350134227867915,29.15744036066184,82,118,156,118.52238993710691,0.0,215.0,29.350134227867915,82,118,156,118.52238993710691,0.0,215.0,29.350134227867915,82,118,156,118.52238993710691,0.0,215.0,29.350134227867915,82,118,156,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,118.52238993710691,0.0,215.0,29.350134227867915,82,118,156,126.60779874213836,0.0,219.0,30.011517949278637,89,127,164,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
8,222.06713759999997,16.815012969916637,59.733994904661174,19.38027438402253,17.159323231984914,18.05998154296875,15.561118000030516,1.1605838052852844,0.7820797436135091,0.7901802971645006,1.0598765432098765,-54.46232220802562,41.537677791974374,1.404368951219757,12.445829920097735,20.845593817399394,26.58527116431201,132.63879210220674,47.0,217.0,26.88675144786057,25.86043116414875,98,133,167,132.63879210220674,47.0,217.0,26.88675144786057,98,133,167,132.63879210220674,47.0,217.0,26.88675144786057,98,133,167,132.63879210220674,47.0,217.0,26.88675144786057,98,133,167,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,132.63879210220674,47.0,217.0,26.88675144786057,98,133,167,140.9883855981417,50.0,221.0,26.827142370684587,106,142,175,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
9,254.69181583999995,18.00787859932128,76.56361711535453,28.916755142996248,16.92341243614698,28.524259689331053,15.204308840179442,1.8760642123995692,0.5459840658086561,0.587264738980718,1.1679224973089344,-66.37062226934319,29.629377730656813,0.0,16.88559262803648,20.040956723669655,20.068297741462775,108.45271629778674,26.0,214.0,28.86014074827173,26.200627268553376,73,107,146,108.45271629778674,26.0,214.0,28.86014074827173,73,107,146,108.45271629778674,26.0,214.0,28.86014074827173,73,107,146,108.45271629778674,26.0,214.0,28.86014074827173,73,107,146,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,108.45271629778674,26.0,214.0,28.86014074827173,73,107,146,116.24949698189135,24.0,219.0,29.80182911939566,79,115,155,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
10,21.795478319999997,5.267908967839318,18.617304232025145,6.326682871774118,5.633347762538597,5.736574754714965,5.153193805694579,1.1132076477262927,0.7902102830817189,0.7372881791575777,1.0566037735849056,-5.710593137499642,-89.71059313749964,1.404368951219757,12.445829920097735,13.833349488825906,29.101045504242624,141.40625,91.0,195.0,19.983106471988584,14.558587820899294,117,142,167,141.40625,91.0,195.0,19.983106471988584,117,142,167,141.40625,91.0,195.0,19.983106471988584,117,142,167,141.40625,91.0,195.0,19.983106471988584,117,142,167,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,141.40625,91.0,195.0,19.983106471988584,117,142,167,149.89583333333331,99.0,201.0,19.61317540087688,126,151,175,128.0,128.0,128.0,0.0,128,128,128,128.0,128.0,128.0,0.0,128,128,128
